"Year","CLUE_Areas","Population_CO2_tonnes","Energy_CO2_tonnes","Trees_CO2_absorbed_tonnes"
2016,"Melbourne (CBD)",16817.672101824,476.530644950917,0.322672881643316
2017,"Melbourne (CBD)",18657.203137848,471.062218107992,3.97246392529468
2017,"Melbourne (CBD)",18657.203137848,471.062218107992,0.322672881643316
2018,"Melbourne (CBD)",19922.845735584,474.782737733529,3.97246392529468
2018,"Melbourne (CBD)",19922.845735584,474.782737733529,0.322672881643316
2019,"Melbourne (CBD)",20821.391365104,472.481324612678,3.97246392529468
2019,"Melbourne (CBD)",20821.391365104,472.481324612678,0.322672881643316
2020,"Melbourne (CBD)",21123.274660488,462.637272833,3.97246392529468
2020,"Melbourne (CBD)",21123.274660488,462.637272833,0.322672881643316
2021,"Melbourne (CBD)",18313.186027752,474.442615420234,3.97246392529468
2021,"Melbourne (CBD)",18313.186027752,474.442615420234,0.322672881643316
2013,"Melbourne (Remainder)",37.49598864,40.7528897945763,88.8452505208366
2013,"Melbourne (Remainder)",37.49598864,40.7528897945763,1.82199055821752
2014,"Melbourne (Remainder)",38.132889696,41.5157205321059,88.8452505208366
2014,"Melbourne (Remainder)",38.132889696,41.5157205321059,1.82199055821752
2011,"Melbourne (Remainder)",36.62181072,38.3485269618256,88.8452505208366
2011,"Melbourne (Remainder)",36.62181072,38.3485269618256,1.82199055821752
2012,"Melbourne (Remainder)",36.9964584,40.4603058651349,88.8452505208366
2012,"Melbourne (Remainder)",36.9964584,40.4603058651349,1.82199055821752
2017,"Melbourne (Remainder)",34.745450256,45.887403490297,88.8452505208366
2017,"Melbourne (Remainder)",34.745450256,45.887403490297,1.82199055821752
2018,"Melbourne (Remainder)",34.336459872,46.4871007386892,88.8452505208366
2018,"Melbourne (Remainder)",34.336459872,46.4871007386892,1.82199055821752
2015,"Melbourne (Remainder)",38.179720656,43.5880785843527,88.8452505208366
2015,"Melbourne (Remainder)",38.179720656,43.5880785843527,1.82199055821752
2016,"Melbourne (Remainder)",36.490684032,46.1725917919178,88.8452505208366
2016,"Melbourne (Remainder)",36.490684032,46.1725917919178,1.82199055821752
2021,"Melbourne (Remainder)",33.310861848,47.1141910241713,88.8452505208366
2021,"Melbourne (Remainder)",33.310861848,47.1141910241713,1.82199055821752
2019,"Melbourne (Remainder)",33.471648144,46.4891214857546,88.8452505208366
2019,"Melbourne (Remainder)",33.471648144,46.4891214857546,1.82199055821752
2020,"Melbourne (Remainder)",33.446671632,45.7350383882629,88.8452505208366
2020,"Melbourne (Remainder)",33.446671632,45.7350383882629,1.82199055821752
2013,"North Melbourne",5729.115444624,41.2214693492586,5.55274237780946
2013,"North Melbourne",5729.115444624,41.2214693492586,1.30664673227036
2012,"North Melbourne",5393.0923794,38.3642796304968,5.55274237780946
2012,"North Melbourne",5393.0923794,38.3642796304968,1.30664673227036
2017,"North Melbourne",6860.577975768,54.0776075549511,5.55274237780946
2017,"North Melbourne",6860.577975768,54.0776075549511,1.30664673227036
2014,"North Melbourne",5982.666067224,44.4256075431406,5.55274237780946
2014,"North Melbourne",5982.666067224,44.4256075431406,1.30664673227036
2011,"North Melbourne",5116.933330344,33.7310544439961,5.55274237780946
2011,"North Melbourne",5116.933330344,33.7310544439961,1.30664673227036
2016,"North Melbourne",6664.915102824,54.2576794232494,5.55274237780946
2016,"North Melbourne",6664.915102824,54.2576794232494,1.30664673227036
2021,"North Melbourne",6444.278839944,56.0891048566938,5.55274237780946
2021,"North Melbourne",6444.278839944,56.0891048566938,1.30664673227036
2018,"North Melbourne",7065.44157132,54.9339088684505,5.55274237780946
2018,"North Melbourne",7065.44157132,54.9339088684505,1.30664673227036
2015,"North Melbourne",6295.293945864,49.0139924954099,5.55274237780946
2015,"North Melbourne",6295.293945864,49.0139924954099,1.30664673227036
2020,"North Melbourne",7264.594911816,54.319338433904,5.55274237780946
2020,"North Melbourne",7264.594911816,54.319338433904,1.30664673227036
2019,"North Melbourne",7182.974792664,55.0788830050225,5.55274237780946
2019,"North Melbourne",7182.974792664,55.0788830050225,1.30664673227036
2012,"Parkville",2793.549498696,67.2166351747392,41.9081615370606
2012,"Parkville",2793.549498696,67.2166351747392,48.5709048474306
2013,"Parkville",2912.030266464,68.6805057303583,41.9081615370606
2013,"Parkville",2912.030266464,68.6805057303583,48.5709048474306
2011,"Parkville",2671.723439352,62.7111773343145,41.9081615370606
2011,"Parkville",2671.723439352,62.7111773343145,48.5709048474306
2016,"Parkville",3195.958571784,80.6775316890868,41.9081615370606
2016,"Parkville",3195.958571784,80.6775316890868,48.5709048474306
2017,"Parkville",3309.141196944,80.7853909347893,41.9081615370606
2017,"Parkville",3309.141196944,80.7853909347893,48.5709048474306
2014,"Parkville",3018.525430536,70.8880964665083,41.9081615370606
2014,"Parkville",3018.525430536,70.8880964665083,48.5709048474306
2015,"Parkville",3112.085883456,75.3252363785839,41.9081615370606
2015,"Parkville",3112.085883456,75.3252363785839,48.5709048474306
2020,"Parkville",3375.673941816,82.1641431505103,41.9081615370606
2020,"Parkville",3375.673941816,82.1641431505103,48.5709048474306
2021,"Parkville",3018.210102072,85.1568957445062,41.9081615370606
2021,"Parkville",3018.210102072,85.1568957445062,48.5709048474306
2018,"Parkville",3332.637850608,82.425883614856,41.9081615370606
2018,"Parkville",3332.637850608,82.425883614856,48.5709048474306
2019,"Parkville",3356.151675624,82.9868926719435,41.9081615370606
2019,"Parkville",3356.151675624,82.9868926719435,48.5709048474306
2011,"Port Melbourne",6123.894193296,31.2774444338789,4.95344092213591
2012,"Port Melbourne",6331.011919056,32.3010309410252,4.95344092213591
2013,"Port Melbourne",6534.884259288,31.8851439611139,4.95344092213591
2014,"Port Melbourne",6698.299333176,31.8695812276362,4.95344092213591
2015,"Port Melbourne",6827.754155904,32.863575025765,4.95344092213591
2016,"Port Melbourne",6910.143863832,34.2237246741707,4.95344092213591
2017,"Port Melbourne",7001.827956288,33.7244218720419,4.95344092213591
2018,"Port Melbourne",7097.133642984,33.8874342804688,4.95344092213591
2019,"Port Melbourne",7274.93206572,33.6241419966389,4.95344092213591
2020,"Port Melbourne",7323.33966804,32.8301568162953,4.95344092213591
2021,"Port Melbourne",7193.491465248,33.5755119508333,4.95344092213591
2013,"South Yarra",2555.968233456,7.33875051385806,121.076829784161
2013,"South Yarra",2555.968233456,7.33875051385806,1.32995859682615
2014,"South Yarra",2556.160240392,8.552684778337,121.076829784161
2014,"South Yarra",2556.160240392,8.552684778337,1.32995859682615
2011,"South Yarra",2578.554805464,4.66708261994297,121.076829784161
2011,"South Yarra",2578.554805464,4.66708261994297,1.32995859682615
2012,"South Yarra",2563.041269448,6.15253703910244,121.076829784161
2012,"South Yarra",2563.041269448,6.15253703910244,1.32995859682615
2017,"South Yarra",2723.697999792,11.6291972707483,121.076829784161
2017,"South Yarra",2723.697999792,11.6291972707483,1.32995859682615
2018,"South Yarra",2770.661647512,11.8228768709475,121.076829784161
2018,"South Yarra",2770.661647512,11.8228768709475,1.32995859682615
2015,"South Yarra",2558.840532336,10.0288424708969,121.076829784161
2015,"South Yarra",2558.840532336,10.0288424708969,1.32995859682615
2016,"South Yarra",2578.5126576,11.6579747827743,121.076829784161
2016,"South Yarra",2578.5126576,11.6579747827743,1.32995859682615
2021,"South Yarra",2589.500761848,12.0978294917763,121.076829784161
2021,"South Yarra",2589.500761848,12.0978294917763,1.32995859682615
2019,"South Yarra",2809.648421712,11.8631434593461,121.076829784161
2019,"South Yarra",2809.648421712,11.8631434593461,1.32995859682615
2020,"South Yarra",2766.70287036,11.7080383117775,121.076829784161
2020,"South Yarra",2766.70287036,11.7080383117775,1.32995859682615
2013,"Southbank",6617.874964536,85.9174909795032,7.60255399745037
2013,"Southbank",6617.874964536,85.9174909795032,0.761439710121264
2012,"Southbank",5704.209179064,84.8607848023449,7.60255399745037
2012,"Southbank",5704.209179064,84.8607848023449,0.761439710121264
2017,"Southbank",8909.42623164,97.5497145156072,7.60255399745037
2017,"Southbank",8909.42623164,97.5497145156072,0.761439710121264
2014,"Southbank",7188.883298784,87.9434937365031,7.60255399745037
2014,"Southbank",7188.883298784,87.9434937365031,0.761439710121264
2011,"Southbank",5059.78082676,79.9797558618858,7.60255399745037
2011,"Southbank",5059.78082676,79.9797558618858,0.761439710121264
2016,"Southbank",8397.154848456,98.6409537283577,7.60255399745037
2016,"Southbank",8397.154848456,98.6409537283577,0.761439710121264
2021,"Southbank",9552.3840918,98.3990953408737,7.60255399745037
2021,"Southbank",9552.3840918,98.3990953408737,0.761439710121264
2018,"Southbank",9556.253890128,98.3596612744638,7.60255399745037
2018,"Southbank",9556.253890128,98.3596612744638,0.761439710121264
2015,"Southbank",7708.692905496,92.7405605880848,7.60255399745037
2015,"Southbank",7708.692905496,92.7405605880848,0.761439710121264
2020,"Southbank",10270.308952728,95.9162558573418,7.60255399745037
2020,"Southbank",10270.308952728,95.9162558573418,0.761439710121264
2019,"Southbank",10074.624225336,97.9207174958557,7.60255399745037
2019,"Southbank",10074.624225336,97.9207174958557,0.761439710121264
2012,"West Melbourne (Industrial)",0,22.9203457744192,4.44059346642468
2012,"West Melbourne (Industrial)",0,22.9203457744192,2.92112857403023
2013,"West Melbourne (Industrial)",0,23.3639357888739,4.44059346642468
2013,"West Melbourne (Industrial)",0,23.3639357888739,2.92112857403023
2015,"West Melbourne (Industrial)",0,25.5197718443617,4.44059346642468
2015,"West Melbourne (Industrial)",0,25.5197718443617,2.92112857403023
2016,"West Melbourne (Industrial)",1.292534496,27.2846888880656,4.44059346642468
2016,"West Melbourne (Industrial)",1.292534496,27.2846888880656,2.92112857403023
2017,"West Melbourne (Industrial)",1.292534496,27.5353700635198,4.44059346642468
