"Year","SA3.name","SA2.code","SA2.name","Total.M","Total.F","Total.A","M_Child","M_Teen","M_Adult","M_Old","F_Child","F_Teen","F_Adult","F_Old","A_Child","A_Teen","A_Adult","A_Old","Check_Child","Check_Teen","Check_Adult","Check_Old"
2013,"Melbourne City",206041503,"Melbourne (CBD)",4966,4680,9646,166,314,4034,452,140,371,3809,360,306,685,7843,812,306,685,7843,812
2013,"Melbourne City",206041504,"Melbourne (CBD)",4621,4970,9591,101,555,3792,173,121,735,3982,132,222,1290,7774,305,222,1290,7774,305
2013,"Melbourne City",206041505,"Melbourne (CBD)",5270,5143,10413,158,340,4585,187,142,409,4408,184,300,749,8993,371,300,749,8993,371
2013,"Melbourne City",206041506,"North Melbourne",7045,7130,14175,573,670,5094,708,509,681,5200,740,1082,1351,10294,1448,1082,1351,10294,1448
2013,"Melbourne City",206041507,"Melbourne (Remainder)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013,"Melbourne City",206041508,"Southbank",3155,2936,6091,137,149,2586,283,130,184,2343,279,267,333,4929,562,267,333,4929,562
2013,"Melbourne City",206041509,"Southbank",5046,4827,9873,210,240,4209,387,184,296,4003,344,394,536,8212,731,394,536,8212,731
2013,"Melbourne City",206041510,"West Melbourne (Residential)",2495,1966,4461,105,135,2105,150,131,114,1570,151,236,249,3675,301,236,249,3675,301
2013,"Port Phillip",206051130,"Port Melbourne",7975,8523,16498,871,474,5196,1434,781,458,5637,1647,1652,932,10833,3081,1652,932,10833,3081
2013,"Port Phillip",206051511,"Port Melbourne",59,29,88,3,2,43,11,2,0,22,5,5,2,65,16,5,2,65,16
2014,"Melbourne City",206041117,"Carlton",8438,9405,17843,455,1095,6213,675,419,1442,6800,744,874,2537,13013,1419,874,2537,13013,1419
2014,"Melbourne City",206041118,"Docklands",4796,4374,9170,270,214,3859,453,265,252,3493,364,535,466,7352,817,535,466,7352,817
2014,"Melbourne City",206041119,"East Melbourne",2569,2805,5374,151,84,1782,552,149,86,1931,639,300,170,3713,1191,300,170,3713,1191
2014,"Melbourne City",206041120,"Melbourne (Remainder)",42,47,89,0,3,37,2,0,0,47,0,0,3,84,2,0,3,84,2
2014,"Melbourne City",206041121,"Kensington",5386,5644,11030,644,323,3852,567,608,349,4022,665,1252,672,7874,1232,1252,672,7874,1232
2014,"Melbourne City",206041124,"Parkville",3520,3927,7447,165,592,2299,464,190,761,2336,640,355,1353,4635,1104,355,1353,4635,1104
2014,"Melbourne City",206041125,"South Yarra",3066,3331,6397,199,208,1973,686,196,225,2144,766,395,433,4117,1452,395,433,4117,1452
2014,"Melbourne City",206041127,"West Melbourne (Industrial)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014,"Melbourne City",206041503,"Melbourne (CBD)",5374,5081,10455,178,349,4340,507,160,396,4123,402,338,745,8463,909,338,745,8463,909
2014,"Melbourne City",206041504,"Melbourne (CBD)",5372,5925,11297,116,676,4371,209,137,925,4686,177,253,1601,9057,386,253,1601,9057,386
2014,"Melbourne City",206041505,"Melbourne (CBD)",5970,5904,11874,201,377,5186,206,186,468,5055,195,387,845,10241,401,387,845,10241,401
2014,"Melbourne City",206041506,"North Melbourne",7306,7503,14809,603,705,5268,730,538,745,5447,773,1141,1450,10715,1503,1141,1450,10715,1503
2014,"Melbourne City",206041507,"Melbourne (Remainder)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014,"Melbourne City",206041508,"Southbank",3327,3126,6453,152,143,2705,327,141,188,2497,300,293,331,5202,627,293,331,5202,627
2014,"Melbourne City",206041509,"Southbank",5546,5356,10902,234,265,4648,399,217,332,4423,384,451,597,9071,783,451,597,9071,783
2014,"Melbourne City",206041510,"West Melbourne (Residential)",2682,2153,4835,101,146,2271,164,149,121,1726,157,250,267,3997,321,250,267,3997,321
2014,"Port Phillip",206051130,"Port Melbourne",8153,8762,16915,887,516,5273,1477,808,494,5766,1694,1695,1010,11039,3171,1695,1010,11039,3171
2014,"Port Phillip",206051511,"Port Melbourne",57,35,92,5,0,42,10,1,0,29,5,6,0,71,15,6,0,71,15
2015,"Melbourne City",206041117,"Carlton",8903,10080,18983,458,1218,6490,737,416,1646,7197,821,874,2864,13687,1558,874,2864,13687,1558
2015,"Melbourne City",206041118,"Docklands",5433,5011,10444,330,239,4358,506,321,291,3987,412,651,530,8345,918,651,530,8345,918
2015,"Melbourne City",206041119,"East Melbourne",2587,2824,5411,144,85,1771,587,149,83,1925,667,293,168,3696,1254,293,168,3696,1254
2015,"Melbourne City",206041120,"Melbourne (Remainder)",42,48,90,0,3,38,1,2,0,46,0,2,3,84,1,2,3,84,1
2015,"Melbourne City",206041121,"Kensington",5504,5787,11291,642,341,3906,615,634,347,4095,711,1276,688,8001,1326,1276,688,8001,1326
2015,"Melbourne City",206041124,"Parkville",3625,4057,7682,177,594,2386,468,195,789,2392,681,372,1383,4778,1149,372,1383,4778,1149
2015,"Melbourne City",206041125,"South Yarra",3053,3352,6405,193,208,1939,713,189,236,2138,789,382,444,4077,1502,382,444,4077,1502
2015,"Melbourne City",206041127,"West Melbourne (Industrial)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,"Melbourne City",206041503,"Melbourne (CBD)",5653,5396,11049,180,379,4538,556,197,408,4346,445,377,787,8884,1001,377,787,8884,1001
2015,"Melbourne City",206041504,"Melbourne (CBD)",6080,6815,12895,138,787,4940,215,154,1108,5356,197,292,1895,10296,412,292,1895,10296,412
2015,"Melbourne City",206041505,"Melbourne (CBD)",6618,6600,13218,237,407,5726,248,200,529,5633,238,437,936,11359,486,437,936,11359,486
2015,"Melbourne City",206041506,"North Melbourne",7602,7954,15556,596,756,5497,753,555,832,5766,801,1151,1588,11263,1554,1151,1588,11263,1554
2015,"Melbourne City",206041507,"Melbourne (Remainder)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,"Melbourne City",206041508,"Southbank",3500,3298,6798,160,136,2844,360,156,191,2625,326,316,327,5469,686,316,327,5469,686
2015,"Melbourne City",206041509,"Southbank",5981,5847,11828,262,288,5012,419,243,365,4802,437,505,653,9814,856,505,653,9814,856
2015,"Melbourne City",206041510,"West Melbourne (Residential)",2887,2336,5223,130,143,2439,175,157,132,1875,172,287,275,4314,347,287,275,4314,347
2015,"Port Phillip",206051130,"Port Melbourne",8302,8952,17254,903,546,5322,1531,848,504,5858,1742,1751,1050,11180,3273,1751,1050,11180,3273
2015,"Port Phillip",206051511,"Port Melbourne",58,41,99,1,0,46,11,0,0,36,5,1,0,82,16,1,0,82,16
