"Year","SA2.name","Gender","Age_category","Population_Count"
2011,"Southbank","M","Teen",135
2011,"Southbank","M","Adult",2083
2011,"Southbank","M","Old",210
2011,"Southbank","F","Child",92
2011,"Southbank","F","Teen",149
2011,"Southbank","F","Adult",1799
2011,"Southbank","F","Old",191
2011,"Southbank","A","Child",192
2011,"Southbank","A","Teen",284
2011,"Southbank","A","Adult",3882
2011,"Southbank","A","Old",401
2011,"Southbank","M","Child",131
2011,"Southbank","M","Teen",175
2011,"Southbank","M","Adult",3209
2011,"Southbank","M","Old",324
2011,"Southbank","F","Child",124
2011,"Southbank","F","Teen",204
2011,"Southbank","F","Adult",2989
2011,"Southbank","F","Old",259
2011,"Southbank","A","Child",255
2011,"Southbank","A","Teen",379
2011,"Southbank","A","Adult",6198
2011,"Southbank","A","Old",583
2011,"West Melbourne (Residential)","M","Child",90
2011,"West Melbourne (Residential)","M","Teen",118
2011,"West Melbourne (Residential)","M","Adult",1792
2011,"West Melbourne (Residential)","M","Old",134
2011,"West Melbourne (Residential)","F","Child",93
2011,"West Melbourne (Residential)","F","Teen",98
2011,"West Melbourne (Residential)","F","Adult",1258
2011,"West Melbourne (Residential)","F","Old",149
2011,"West Melbourne (Residential)","A","Child",183
2011,"West Melbourne (Residential)","A","Teen",216
2011,"West Melbourne (Residential)","A","Adult",3050
2011,"West Melbourne (Residential)","A","Old",283
2011,"Port Melbourne","M","Child",791
2011,"Port Melbourne","M","Teen",403
2011,"Port Melbourne","M","Adult",4970
2011,"Port Melbourne","M","Old",1312
2011,"Port Melbourne","F","Child",670
2011,"Port Melbourne","F","Teen",416
2011,"Port Melbourne","F","Adult",5337
2011,"Port Melbourne","F","Old",1514
2011,"Port Melbourne","A","Child",1461
2011,"Port Melbourne","A","Teen",819
2011,"Port Melbourne","A","Adult",10307
2011,"Port Melbourne","A","Old",2826
2011,"Port Melbourne","M","Child",2
2011,"Port Melbourne","M","Teen",1
2011,"Port Melbourne","M","Adult",36
2011,"Port Melbourne","M","Old",8
2011,"Port Melbourne","F","Child",3
2011,"Port Melbourne","F","Teen",0
2011,"Port Melbourne","F","Adult",16
2011,"Port Melbourne","F","Old",5
2011,"Port Melbourne","A","Child",5
2011,"Port Melbourne","A","Teen",1
2011,"Port Melbourne","A","Adult",52
2011,"Port Melbourne","A","Old",13
2012,"Carlton","M","Child",434
2012,"Carlton","M","Teen",837
2012,"Carlton","M","Adult",5630
2012,"Carlton","M","Old",599
2012,"Carlton","F","Child",377
2012,"Carlton","F","Teen",1078
2012,"Carlton","F","Adult",6044
2012,"Carlton","F","Old",606
2012,"Carlton","A","Child",811
2012,"Carlton","A","Teen",1915
2012,"Carlton","A","Adult",11674
2012,"Carlton","A","Old",1205
2012,"Docklands","M","Child",176
2012,"Docklands","M","Teen",164
2012,"Docklands","M","Adult",2914
2012,"Docklands","M","Old",350
